f_phasing,altitude_plane_1_km,inclination_plane_1_deg,high_q_plane_1,med_q_plane_1,low_q_plane_1,altitude_plane_2_km,inclination_plane_2_deg,high_q_plane_2,med_q_plane_2,low_q_plane_2,altitude_plane_3_km,inclination_plane_3_deg,high_q_plane_3,med_q_plane_3,low_q_plane_3,altitude_plane_4_km,inclination_plane_4_deg,high_q_plane_4,med_q_plane_4,low_q_plane_4,altitude_plane_5_km,inclination_plane_5_deg,high_q_plane_5,med_q_plane_5,low_q_plane_5,altitude_plane_6_km,inclination_plane_6_deg,high_q_plane_6,med_q_plane_6,low_q_plane_6,altitude_plane_7_km,inclination_plane_7_deg,high_q_plane_7,med_q_plane_7,low_q_plane_7,altitude_plane_8_km,inclination_plane_8_deg,high_q_plane_8,med_q_plane_8,low_q_plane_8,altitude_plane_9_km,inclination_plane_9_deg,high_q_plane_9,med_q_plane_9,low_q_plane_9,altitude_plane_10_km,inclination_plane_10_deg,high_q_plane_10,med_q_plane_10,low_q_plane_10,total_system_cost_usd,mean_revisit_time_hr,mean_achieved_quality
3,325.3,56.79,3,1,4,766.19,55.4,7,3,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,128300000.0,3.5467,0.2775
1,592.8,58.38,7,5,3,341.61,69.51,6,1,13,426.22,86.74,2,1,3,482.8,96.87,3,1,3,799.03,96.83,1,2,5,537.46,34.2,5,2,5,623.83,90.66,5,1,4,710.75,55.53,3,2,4,606.22,29.33,4,7,2,-1.0,-1.0,-1,-1,-1,524850000.0,1.6016,0.343
0,524.66,49.36,1,2,2,314.9,60.65,3,3,6,430.28,71.12,2,1,7,524.61,86.48,10,5,1,670.86,31.12,1,0,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,249075000.0,3.8955,0.4199
0,780.39,69.1,0,1,1,382.0,82.81,2,8,7,628.62,84.49,0,9,11,360.21,37.95,3,2,3,646.58,76.8,3,3,7,443.6,44.03,0,1,3,541.14,43.12,7,0,3,591.38,97.72,1,5,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,340975000.0,2.4236,0.353
0,738.16,77.13,2,2,3,368.17,58.06,6,8,2,654.03,87.95,1,0,1,676.61,67.79,5,0,9,388.97,38.06,5,7,2,702.32,67.81,1,3,4,678.44,67.6,2,0,7,752.12,81.23,7,6,5,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,455650000.0,1.3413,0.3229
3,447.49,85.14,3,7,1,512.15,95.73,4,5,5,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,130550000.0,7.541,0.404
1,638.42,46.4,3,4,6,353.68,67.15,1,2,2,619.25,50.86,4,2,2,665.38,56.29,8,4,3,790.23,65.42,4,10,3,316.4,40.06,7,5,6,443.6,34.22,7,2,11,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,519275000.0,1.3104,0.3028
1,610.18,89.52,14,0,6,460.99,51.59,1,2,2,318.09,69.26,1,2,11,592.14,84.26,11,3,5,325.07,69.31,1,2,5,497.61,58.65,3,2,3,572.69,45.74,6,5,7,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,505700000.0,1.6673,0.3602
2,567.69,71.36,2,1,4,325.91,85.97,3,2,2,350.53,37.94,0,1,5,478.15,71.42,1,0,2,626.41,90.19,1,0,1,399.41,27.79,5,6,3,309.8,79.69,8,8,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,310250000.0,5.3575,0.488
3,640.81,27.13,6,1,9,422.56,95.99,5,3,5,496.29,73.82,3,4,6,369.57,90.8,8,1,8,348.89,80.61,6,4,7,721.92,66.13,2,1,2,394.53,51.48,5,6,6,508.93,90.44,1,0,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,522800000.0,2.5892,0.411
